city,Cloudiness,country,Date,Humidity,lat,lng,Max_Temp,Wind Speed
tuktoyaktuk,48.0,ca,2018-05-24 14:06:33,100.0,88.72912854956797,-129.88040603888987,-2.39,5.36
chicama,80.0,pe,2018-05-24 14:06:34,100.0,-9.603975803426223,-83.2437786641806,22.42,5.26
todos santos,8.0,mx,2018-05-24 14:06:36,100.0,23.044380720278753,-110.98860932070694,19.17,7.21
ostrovnoy,48.0,ru,2018-05-24 14:06:37,100.0,71.62909726796786,40.772577479614256,3.92,6.56
deputatskiy,32.0,ru,2018-05-24 14:06:38,85.0,77.15182071766654,142.30374905958115,-5.44,4.36
puerto ayora,80.0,ec,2018-05-24 14:06:40,98.0,-2.1455897952328797,-95.33335452651527,24.67,5.11
iqaluit,56.0,ca,2018-05-24 14:06:41,100.0,64.3622003224078,-67.57426121753532,-7.09,2.41
haines junction,88.0,ca,2018-05-24 14:06:43,82.0,61.72584278296151,-142.36796552399193,-5.84,0.86
ixtapa,12.0,mx,2018-05-24 14:06:44,100.0,10.333431696745478,-104.93539144279933,28.82,2.66
samusu,24.0,ws,2018-05-24 14:06:45,100.0,-1.2160125362499343,-164.32601194970493,26.47,2.21
taolanaro,80.0,mg,2018-05-24 14:06:47,100.0,-62.3368110471763,53.89267241388879,-7.34,10.51
port elizabeth,0.0,za,2018-05-24 14:06:48,0.0,-81.00762908203514,32.77211252852098,-51.84,9.86
atuona,76.0,pf,2018-05-24 14:06:50,99.0,-1.8794738361871879,-136.75684913778784,26.72,8.11
te anau,44.0,nz,2018-05-24 14:06:51,100.0,-44.6006458765508,161.95377942811007,10.47,15.16
port blair,20.0,in,2018-05-24 14:06:53,100.0,13.18925628355042,93.34830618859257,30.97,6.11
gold coast,100.0,au,2018-05-24 14:06:54,100.0,-27.209262885009615,157.1792317752019,21.47,4.96
kokoda,44.0,pg,2018-05-24 14:06:56,100.0,-8.109545390543815,147.38797402292352,18.81,0.51
ambon,8.0,id,2018-05-24 14:06:57,100.0,-2.743855830591002,126.7110956044346,26.07,1.11
dikson,80.0,ru,2018-05-24 14:06:59,97.0,74.80993190888421,72.66413580753024,-3.94,10.86
kikwit,20.0,cd,2018-05-24 14:07:00,36.0,-5.035695389654833,18.28506812680888,34.07,1.66
avarua,0.0,ck,2018-05-24 14:07:01,100.0,-34.77988429284102,-162.991299377225,18.42,10.11
saint-philippe,32.0,re,2018-05-24 14:07:03,100.0,-59.40386936850216,67.11153747615498,-2.39,8.96
severo-kurilsk,56.0,ru,2018-05-24 14:07:04,97.0,51.739821614223615,154.72128914191052,3.67,6.46
buta,64.0,cd,2018-05-24 14:07:06,67.0,3.6135919795807183,24.69406569946608,27.11,1.11
tabiauea,0.0,ki,2018-05-24 14:07:07,100.0,-0.09534052511203583,172.93350615279616,28.57,4.66
ambodifototra,20.0,mg,2018-05-24 14:07:08,100.0,-17.630834267096517,51.34570417139244,26.67,8.26
kavieng,0.0,pg,2018-05-24 14:07:10,100.0,18.182691440855862,155.56029887188026,27.57,2.41
vaini,68.0,to,2018-05-24 14:07:11,90.0,-71.65459040183876,-172.87501227178026,-15.99,14.01
santa maria,0.0,cv,2018-05-24 14:07:13,100.0,19.792858016155463,-20.757105533936397,20.22,9.31
roma,76.0,au,2018-05-24 14:07:14,89.0,-27.46530090455321,145.3842370718608,10.56,1.31
tiksi,56.0,ru,2018-05-24 14:07:15,89.0,77.91312635605155,131.0289341259301,-0.84,6.51
le vauclin,64.0,mq,2018-05-24 14:07:17,100.0,15.70396112803762,-58.686325317364336,26.27,7.51
aksu,0.0,cn,2018-05-24 14:07:18,15.0,37.693696486861455,81.33278272610426,16.97,6.11
mafinga,32.0,tz,2018-05-24 14:07:19,31.0,-7.326536107550908,34.83532348749901,28.36,3.81
matara,88.0,lk,2018-05-24 14:07:21,98.0,1.500392894901907,80.64608924547059,29.72,10.36
ketchikan,20.0,us,2018-05-24 12:56:00,93.0,56.10525091229124,-132.54419673136906,7.0,2.1
chumikan,32.0,ru,2018-05-24 14:07:24,96.0,56.681074051661426,133.12566253203852,3.02,1.16
